time;local_time;electricity;irradiance_direct;irradiance_diffuse;temperature;irradiancetotale
2019-01-01 00:00;2019-01-01 01:00;0;0;0;5.570;0
2019-01-01 01:00;2019-01-01 02:00;0;0;0;5.329;0
2019-01-01 02:00;2019-01-01 03:00;0;0;0;4.947;0
2019-01-01 03:00;2019-01-01 04:00;0;0;0;4.507;0
2019-01-01 04:00;2019-01-01 05:00;0;0;0;4.142;0
2019-01-01 05:00;2019-01-01 06:00;0;0;0;3.965;0
2019-01-01 06:00;2019-01-01 07:00;0;0;0;3.746;0
2019-01-01 07:00;2019-01-01 08:00;0,027;0,041;0,012;3.720;0,053
2019-01-01 08:00;2019-01-01 09:00;0,249;0,27;0,053;5.270;0,323
2019-01-01 09:00;2019-01-01 10:00;0,41;0,468;0,072;7.346;0,54
2019-01-01 10:00;2019-01-01 11:00;0,505;0,6;0,081;8.898;0,681
2019-01-01 11:00;2019-01-01 12:00;0,543;0,658;0,086;10.032;0,744
2019-01-01 12:00;2019-01-01 13:00;0,531;0,642;0,085;10.566;0,727
2019-01-01 13:00;2019-01-01 14:00;0,468;0,552;0,08;10.536;0,632
2019-01-01 14:00;2019-01-01 15:00;0,353;0,4;0,067;9.765;0,467
2019-01-01 15:00;2019-01-01 16:00;0,164;0,179;0,042;8.044;0,221
2019-01-01 16:00;2019-01-01 17:00;0;0,004;0,002;5.824;0,006
2019-01-01 17:00;2019-01-01 18:00;0;0;0;4.484;0
2019-01-01 18:00;2019-01-01 19:00;0;0;0;3.769;0
2019-01-01 19:00;2019-01-01 20:00;0;0;0;3.231;0
2019-01-01 20:00;2019-01-01 21:00;0;0;0;2.822;0
2019-01-01 21:00;2019-01-01 22:00;0;0;0;2.493;0
2019-01-01 22:00;2019-01-01 23:00;0;0;0;2.300;0
2019-01-01 23:00;2019-01-02 00:00;0;0;0;2.310;0
2019-01-02 00:00;2019-01-02 01:00;0;0;0;2.392;0
2019-01-02 01:00;2019-01-02 02:00;0;0;0;2.744;0
2019-01-02 02:00;2019-01-02 03:00;0;0;0;3.058;0
2019-01-02 03:00;2019-01-02 04:00;0;0;0;3.093;0
2019-01-02 04:00;2019-01-02 05:00;0;0;0;3.057;0
2019-01-02 05:00;2019-01-02 06:00;0;0;0;2.988;0
2019-01-02 06:00;2019-01-02 07:00;0;0;0;2.938;0
2019-01-02 07:00;2019-01-02 08:00;0,033;0,048;0,012;2.917;0,06
2019-01-02 08:00;2019-01-02 09:00;0,272;0,3;0,049;3.809;0,349
2019-01-02 09:00;2019-01-02 10:00;0,442;0,513;0,064;5.021;0,577
2019-01-02 10:00;2019-01-02 11:00;0,543;0,658;0,07;6.352;0,728
2019-01-02 11:00;2019-01-02 12:00;0,595;0,744;0,07;7.491;0,814
2019-01-02 12:00;2019-01-02 13:00;0,574;0,713;0,071;7.965;0,784
2019-01-02 13:00;2019-01-02 14:00;0,536;0,664;0,061;7.917;0,725
2019-01-02 14:00;2019-01-02 15:00;0,424;0,509;0,05;7.409;0,559
2019-01-02 15:00;2019-01-02 16:00;0,214;0,246;0,035;6.254;0,281
2019-01-02 16:00;2019-01-02 17:00;0;0,006;0,002;4.684;0,008
2019-01-02 17:00;2019-01-02 18:00;0;0;0;3.917;0
2019-01-02 18:00;2019-01-02 19:00;0;0;0;3.431;0
2019-01-02 19:00;2019-01-02 20:00;0;0;0;2.907;0
2019-01-02 20:00;2019-01-02 21:00;0;0;0;2.389;0
2019-01-02 21:00;2019-01-02 22:00;0;0;0;1.829;0
2019-01-02 22:00;2019-01-02 23:00;0;0;0;1.318;0
2019-01-02 23:00;2019-01-03 00:00;0;0;0;0.960;0
2019-01-03 00:00;2019-01-03 01:00;0;0;0;0.737;0
2019-01-03 01:00;2019-01-03 02:00;0;0;0;0.559;0
2019-01-03 02:00;2019-01-03 03:00;0;0;0;0.392;0
2019-01-03 03:00;2019-01-03 04:00;0;0;0;0.333;0
2019-01-03 04:00;2019-01-03 05:00;0;0;0;0.285;0
2019-01-03 05:00;2019-01-03 06:00;0;0;0;0.261;0
2019-01-03 06:00;2019-01-03 07:00;0;0;0;0.146;0
2019-01-03 07:00;2019-01-03 08:00;0,05;0,069;0,011;0.337;0,08
2019-01-03 08:00;2019-01-03 09:00;0,335;0,388;0,039;2.284;0,427
2019-01-03 09:00;2019-01-03 10:00;0,504;0,615;0,048;4.403;0,663
2019-01-03 10:00;2019-01-03 11:00;0,599;0,76;0,054;6.148;0,814
2019-01-03 11:00;2019-01-03 12:00;0,637;0,824;0,057;7.275;0,881
2019-01-03 12:00;2019-01-03 13:00;0,622;0,803;0,057;7.862;0,86
2019-01-03 13:00;2019-01-03 14:00;0,555;0,699;0,054;7.914;0,753
2019-01-03 14:00;2019-01-03 15:00;0,426;0,513;0,048;7.366;0,561
2019-01-03 15:00;2019-01-03 16:00;0,213;0,244;0,035;5.726;0,279
2019-01-03 16:00;2019-01-03 17:00;0;0,006;0,002;2.903;0,008
2019-01-03 17:00;2019-01-03 18:00;0;0;0;2.240;0
2019-01-03 18:00;2019-01-03 19:00;0;0;0;2.134;0
2019-01-03 19:00;2019-01-03 20:00;0;0;0;1.639;0
2019-01-03 20:00;2019-01-03 21:00;0;0;0;1.274;0
2019-01-03 21:00;2019-01-03 22:00;0;0;0;1.034;0
2019-01-03 22:00;2019-01-03 23:00;0;0;0;0.780;0
2019-01-03 23:00;2019-01-04 00:00;0;0;0;0.557;0
2019-01-04 00:00;2019-01-04 01:00;0;0;0;0.426;0
2019-01-04 01:00;2019-01-04 02:00;0;0;0;0.407;0
2019-01-04 02:00;2019-01-04 03:00;0;0;0;0.396;0
2019-01-04 03:00;2019-01-04 04:00;0;0;0;0.312;0
2019-01-04 04:00;2019-01-04 05:00;0;0;0;0.145;0
2019-01-04 05:00;2019-01-04 06:00;0;0;0;-0.146;0
2019-01-04 06:00;2019-01-04 07:00;0;0;0;-0.333;0
2019-01-04 07:00;2019-01-04 08:00;0,045;0,062;0,012;-0.110;0,074
2019-01-04 08:00;2019-01-04 09:00;0,296;0,33;0,047;2.231;0,377
2019-01-04 09:00;2019-01-04 10:00;0,464;0,546;0,06;4.346;0,606
2019-01-04 10:00;2019-01-04 11:00;0,579;0,72;0,063;6.047;0,783
2019-01-04 11:00;2019-01-04 12:00;0,626;0,799;0,064;7.208;0,863
2019-01-04 12:00;2019-01-04 13:00;0,604;0,765;0,066;7.742;0,831
2019-01-04 13:00;2019-01-04 14:00;0,522;0,635;0,067;7.743;0,702
2019-01-04 14:00;2019-01-04 15:00;0,325;0,349;0,075;7.076;0,424
2019-01-04 15:00;2019-01-04 16:00;0,096;0,089;0,048;4.986;0,137
2019-01-04 16:00;2019-01-04 17:00;0;0,002;0,002;2.560;0,004
2019-01-04 17:00;2019-01-04 18:00;0;0;0;1.969;0
2019-01-04 18:00;2019-01-04 19:00;0;0;0;1.720;0
2019-01-04 19:00;2019-01-04 20:00;0;0;0;1.650;0
2019-01-04 20:00;2019-01-04 21:00;0;0;0;1.515;0
2019-01-04 21:00;2019-01-04 22:00;0;0;0;1.023;0
2019-01-04 22:00;2019-01-04 23:00;0;0;0;0.956;0
2019-01-04 23:00;2019-01-05 00:00;0;0;0;1.045;0
2019-01-05 00:00;2019-01-05 01:00;0;0;0;1.262;0
