Time;Local Time;Wind Speed
2019-01-01 00:00;2019-01-01 01:00;7,747
2019-01-01 01:00;2019-01-01 02:00;7,959
2019-01-01 02:00;2019-01-01 03:00;7,873
2019-01-01 03:00;2019-01-01 04:00;7,558
2019-01-01 04:00;2019-01-01 05:00;7,369
2019-01-01 05:00;2019-01-01 06:00;7,223
2019-01-01 06:00;2019-01-01 07:00;6,977
2019-01-01 07:00;2019-01-01 08:00;6,848
2019-01-01 08:00;2019-01-01 09:00;6,485
2019-01-01 09:00;2019-01-01 10:00;6,273
2019-01-01 10:00;2019-01-01 11:00;6,203
2019-01-01 11:00;2019-01-01 12:00;6,202
2019-01-01 12:00;2019-01-01 13:00;6,253
2019-01-01 13:00;2019-01-01 14:00;6,363
2019-01-01 14:00;2019-01-01 15:00;6,425
2019-01-01 15:00;2019-01-01 16:00;6,342
2019-01-01 16:00;2019-01-01 17:00;6,696
2019-01-01 17:00;2019-01-01 18:00;7,302
2019-01-01 18:00;2019-01-01 19:00;7,728
2019-01-01 19:00;2019-01-01 20:00;8,116
2019-01-01 20:00;2019-01-01 21:00;8,46
2019-01-01 21:00;2019-01-01 22:00;8,8
2019-01-01 22:00;2019-01-01 23:00;9,162
2019-01-01 23:00;2019-01-02 00:00;9,376
2019-01-02 00:00;2019-01-02 01:00;9,589
2019-01-02 01:00;2019-01-02 02:00;9,778
2019-01-02 02:00;2019-01-02 03:00;9,8
2019-01-02 03:00;2019-01-02 04:00;10,156
2019-01-02 04:00;2019-01-02 05:00;10,391
2019-01-02 05:00;2019-01-02 06:00;10,394
2019-01-02 06:00;2019-01-02 07:00;10,333
2019-01-02 07:00;2019-01-02 08:00;10,385
2019-01-02 08:00;2019-01-02 09:00;10,761
2019-01-02 09:00;2019-01-02 10:00;10,787
2019-01-02 10:00;2019-01-02 11:00;10,686
2019-01-02 11:00;2019-01-02 12:00;10,652
2019-01-02 12:00;2019-01-02 13:00;10,672
2019-01-02 13:00;2019-01-02 14:00;10,598
2019-01-02 14:00;2019-01-02 15:00;10,338
2019-01-02 15:00;2019-01-02 16:00;10,08
2019-01-02 16:00;2019-01-02 17:00;10,152
2019-01-02 17:00;2019-01-02 18:00;10,128
2019-01-02 18:00;2019-01-02 19:00;9,925
2019-01-02 19:00;2019-01-02 20:00;9,793
2019-01-02 20:00;2019-01-02 21:00;9,765
2019-01-02 21:00;2019-01-02 22:00;9,514
2019-01-02 22:00;2019-01-02 23:00;9,146
2019-01-02 23:00;2019-01-03 00:00;8,837
2019-01-03 00:00;2019-01-03 01:00;8,571
2019-01-03 01:00;2019-01-03 02:00;8,325
2019-01-03 02:00;2019-01-03 03:00;8,116
2019-01-03 03:00;2019-01-03 04:00;7,954
2019-01-03 04:00;2019-01-03 05:00;7,805
2019-01-03 05:00;2019-01-03 06:00;7,79
2019-01-03 06:00;2019-01-03 07:00;7,713
2019-01-03 07:00;2019-01-03 08:00;7,671
2019-01-03 08:00;2019-01-03 09:00;7,263
2019-01-03 09:00;2019-01-03 10:00;7,057
2019-01-03 10:00;2019-01-03 11:00;7,418
2019-01-03 11:00;2019-01-03 12:00;7,366
2019-01-03 12:00;2019-01-03 13:00;7,352
2019-01-03 13:00;2019-01-03 14:00;7,36
2019-01-03 14:00;2019-01-03 15:00;7,218
2019-01-03 15:00;2019-01-03 16:00;6,951
2019-01-03 16:00;2019-01-03 17:00;7,363
2019-01-03 17:00;2019-01-03 18:00;7,836
2019-01-03 18:00;2019-01-03 19:00;7,785
2019-01-03 19:00;2019-01-03 20:00;7,569
2019-01-03 20:00;2019-01-03 21:00;7,463
2019-01-03 21:00;2019-01-03 22:00;7,466
2019-01-03 22:00;2019-01-03 23:00;7,472
2019-01-03 23:00;2019-01-04 00:00;7,461
2019-01-04 00:00;2019-01-04 01:00;7,555
2019-01-04 01:00;2019-01-04 02:00;7,656
2019-01-04 02:00;2019-01-04 03:00;7,673
2019-01-04 03:00;2019-01-04 04:00;7,603
2019-01-04 04:00;2019-01-04 05:00;7,541
2019-01-04 05:00;2019-01-04 06:00;7,538
2019-01-04 06:00;2019-01-04 07:00;7,452
2019-01-04 07:00;2019-01-04 08:00;7,276
2019-01-04 08:00;2019-01-04 09:00;6,556
2019-01-04 09:00;2019-01-04 10:00;6,108
2019-01-04 10:00;2019-01-04 11:00;6,332
2019-01-04 11:00;2019-01-04 12:00;6,304
2019-01-04 12:00;2019-01-04 13:00;6,226
2019-01-04 13:00;2019-01-04 14:00;6,175
2019-01-04 14:00;2019-01-04 15:00;5,994
2019-01-04 15:00;2019-01-04 16:00;5,914
2019-01-04 16:00;2019-01-04 17:00;6,392
2019-01-04 17:00;2019-01-04 18:00;6,855
2019-01-04 18:00;2019-01-04 19:00;6,989
2019-01-04 19:00;2019-01-04 20:00;7,095
2019-01-04 20:00;2019-01-04 21:00;7,151
2019-01-04 21:00;2019-01-04 22:00;7,222
2019-01-04 22:00;2019-01-04 23:00;7,473
2019-01-04 23:00;2019-01-05 00:00;7,685
2019-01-05 00:00;2019-01-05 01:00;7,957
2019-01-05 01:00;2019-01-05 02:00;8,154
2019-01-05 02:00;2019-01-05 03:00;8,452
2019-01-05 03:00;2019-01-05 04:00;8,682
2019-01-05 04:00;2019-01-05 05:00;9,021
2019-01-05 05:00;2019-01-05 06:00;9,285
2019-01-05 06:00;2019-01-05 07:00;9,274
2019-01-05 07:00;2019-01-05 08:00;9,259
2019-01-05 08:00;2019-01-05 09:00;9,108
2019-01-05 09:00;2019-01-05 10:00;9,642
2019-01-05 10:00;2019-01-05 11:00;10,129
2019-01-05 11:00;2019-01-05 12:00;10,367
2019-01-05 12:00;2019-01-05 13:00;10,669
2019-01-05 13:00;2019-01-05 14:00;10,846
2019-01-05 14:00;2019-01-05 15:00;10,831
2019-01-05 15:00;2019-01-05 16:00;10,954
2019-01-05 16:00;2019-01-05 17:00;11,16
2019-01-05 17:00;2019-01-05 18:00;11,285
2019-01-05 18:00;2019-01-05 19:00;11,293
2019-01-05 19:00;2019-01-05 20:00;11,08
2019-01-05 20:00;2019-01-05 21:00;11,207
2019-01-05 21:00;2019-01-05 22:00;11,335
2019-01-05 22:00;2019-01-05 23:00;11,506
2019-01-05 23:00;2019-01-06 00:00;11,682
2019-01-06 00:00;2019-01-06 01:00;11,653
2019-01-06 01:00;2019-01-06 02:00;11,587
2019-01-06 02:00;2019-01-06 03:00;11,466
2019-01-06 03:00;2019-01-06 04:00;11,309
2019-01-06 04:00;2019-01-06 05:00;11,148
2019-01-06 05:00;2019-01-06 06:00;10,879
2019-01-06 06:00;2019-01-06 07:00;10,715
2019-01-06 07:00;2019-01-06 08:00;10,716
2019-01-06 08:00;2019-01-06 09:00;10,654
2019-01-06 09:00;2019-01-06 10:00;10,698
2019-01-06 10:00;2019-01-06 11:00;10,941
2019-01-06 11:00;2019-01-06 12:00;11,31
2019-01-06 12:00;2019-01-06 13:00;11,534
